,Date,Ticker,Type,Invested,PnL,Reason
0,2021-01-08,TSLA,BUY,200.0,,
1,2021-01-11,TSLA,SELL,,-16.19525013715102,STOP_LOSS
2,2021-01-15,TSLA,BUY,196.76094997256982,,
3,2021-01-25,TSLA,BUY,196.76094997256982,,
4,2021-01-29,TSLA,SELL,,-20.02632449934478,STOP_LOSS
5,2021-02-01,TSLA,BUY,192.75568507270086,,
6,2021-02-08,TSLA,SELL,,4.825202777498163,TIME_EXIT
7,2021-02-08,TSLA,BUY,193.72072562820048,,
8,2021-02-16,TSLA,SELL,,-7.698821746700418,TIME_EXIT
9,2021-02-16,TSLA,SELL,,-15.612590007311951,STOP_LOSS
10,2021-02-16,TSLA,BUY,189.058443277398,,
11,2021-02-22,TSLA,SELL,,-19.912376938436694,STOP_LOSS
12,2021-02-23,TSLA,BUY,185.07596788971068,,
13,2021-03-02,TSLA,SELL,,-3.8286690989619103,TIME_EXIT
14,2021-03-02,TSLA,BUY,184.3102340699183,,
15,2021-03-04,TSLA,SELL,,-17.952596500073497,STOP_LOSS
16,2021-03-09,TSLA,BUY,180.7197147699036,,
17,2021-03-16,TSLA,BUY,180.7197147699036,,
18,2021-03-17,TSLA,SELL,,6.094569424818104,TIME_EXIT
19,2021-03-23,QCOM,BUY,181.93862865486722,,
20,2021-03-24,QCOM,SELL,,-7.8545486222630245,TIME_EXIT
21,2021-03-26,TSLA,SELL,,-15.218895019469613,STOP_LOSS
22,2021-03-30,AMD,BUY,177.3239399265207,,
23,2021-04-21,TSLA,BUY,177.3239399265207,,
24,2021-04-22,TSLA,SELL,,-6.335575443269164,TIME_EXIT
25,2021-04-28,AMD,SELL,,18.12491111286056,TIME_EXIT
26,2021-04-28,AMD,BUY,179.68180706043898,,
27,2021-05-05,AMD,SELL,,-13.73642574354605,STOP_LOSS
28,2021-05-05,TSLA,BUY,176.9345219117298,,
29,2021-05-06,TSLA,SELL,,-2.4758078445343585,TIME_EXIT
30,2021-05-12,TSLA,BUY,176.43936034282294,,
31,2021-05-19,TSLA,BUY,176.43936034282294,,
32,2021-05-20,TSLA,SELL,,6.751736041319191,TIME_EXIT
33,2021-06-03,NFLX,BUY,177.78970755108676,,
34,2021-06-10,TSLA,SELL,,5.504070932284634,TIME_EXIT
35,2021-06-10,NFLX,BUY,178.8905217375437,,
36,2021-06-17,NFLX,BUY,178.8905217375437,,
37,2021-06-24,AMD,BUY,178.8905217375437,,
38,2021-07-01,NFLX,SELL,,15.442577399923977,TIME_EXIT
39,2021-07-01,AMD,BUY,181.9790372175285,,
40,2021-07-09,NFLX,SELL,,17.29317290582412,TIME_EXIT
41,2021-07-09,NVDA,BUY,185.43767179869334,,
42,2021-07-16,NFLX,SELL,,10.905921746230774,TIME_EXIT
43,2021-07-16,AMD,SELL,,-14.972886370211768,STOP_LOSS
44,2021-07-16,NVDA,SELL,,-17.976314578198725,STOP_LOSS
45,2021-07-16,NVDA,BUY,181.0290159582574,,
46,2021-07-23,AMD,SELL,,11.996418057942236,TIME_EXIT
47,2021-07-23,NFLX,BUY,183.4282995698458,,
48,2021-07-30,NFLX,SELL,,0.21677016288663253,TIME_EXIT
49,2021-07-30,NVDA,BUY,183.47165360242312,,
50,2021-08-06,NFLX,BUY,183.47165360242315,,
51,2021-08-13,NVDA,SELL,,19.602149623200233,TIME_EXIT
52,2021-08-13,NFLX,BUY,187.3920835270632,,
53,2021-08-20,NFLX,BUY,187.3920835270632,,
54,2021-08-27,NVDA,SELL,,28.878697019338915,TIME_EXIT
55,2021-08-27,TSLA,BUY,193.16782293093098,,
56,2021-09-03,NFLX,SELL,,24.0412845500623,TIME_EXIT
57,2021-09-03,TSLA,BUY,197.97607984094344,,
58,2021-09-13,NFLX,SELL,,26.00802874793149,TIME_EXIT
59,2021-09-20,NFLX,SELL,,9.192011487834236,TIME_EXIT
60,2021-09-20,TSLA,BUY,205.0160878880966,,
61,2021-09-27,TSLA,SELL,,20.911333762609615,TIME_EXIT
62,2021-09-27,TSLA,BUY,209.19835464061853,,
63,2021-10-04,TSLA,SELL,,12.311447701355547,TIME_EXIT
64,2021-10-04,TSLA,BUY,211.66064418088965,,
65,2021-10-11,NVDA,BUY,211.66064418088965,,
66,2021-10-18,TSLA,SELL,,38.56009637980347,TIME_EXIT
67,2021-10-18,NVDA,BUY,219.37266345685032,,
68,2021-10-25,TSLA,SELL,,60.91456866774692,TIME_EXIT
69,2021-10-25,TSLA,BUY,231.55557719039973,,
70,2021-11-01,TSLA,SELL,,114.6792224988287,TIME_EXIT
71,2021-11-01,TSLA,BUY,254.49142169016545,,
72,2021-11-08,NVDA,SELL,,102.44698335292574,TIME_EXIT
73,2021-11-08,QCOM,BUY,274.9808183607506,,
74,2021-11-09,TSLA,SELL,,-39.61999983325069,STOP_LOSS
75,2021-11-15,NVDA,SELL,,76.14192254026437,TIME_EXIT
76,2021-11-15,QCOM,SELL,,3.573090416185835,TIME_EXIT
77,2021-11-15,META,BUY,282.9998209853905,,
78,2021-11-22,TSLA,SELL,,29.04293782998826,TIME_EXIT
79,2021-11-22,META,SELL,,-6.1653884364973806,TIME_EXIT
80,2021-11-30,META,BUY,287.5753308640887,,
81,2021-12-07,NVDA,BUY,287.5753308640887,,
82,2021-12-13,NVDA,SELL,,-38.58090184929077,STOP_LOSS
83,2021-12-14,NVDA,BUY,279.8591504942305,,
84,2021-12-21,NVDA,BUY,279.8591504942305,,
85,2021-12-29,META,SELL,,15.468433805237396,TIME_EXIT
86,2021-12-29,NVDA,BUY,282.952837255278,,
