Date,Equity
2021-01-04,1000.0
2021-01-05,1000.0
2021-01-06,1000.0
2021-01-07,1000.0
2021-01-08,999.7001499250375
2021-01-11,983.804749862849
2021-01-12,983.804749862849
2021-01-13,983.804749862849
2021-01-14,983.804749862849
2021-01-15,983.5097559348542
2021-01-19,987.8830152635858
2021-01-20,989.2860775939758
2021-01-21,987.9876505680339
2021-01-22,988.3800220738109
2021-01-25,996.2085030023239
2021-01-26,997.2638767476035
2021-01-27,988.5397969564355
2021-01-28,975.29925085511
2021-01-29,955.7238287894138
2021-02-01,966.4405099672715
2021-02-02,981.8416532181674
2021-02-03,973.3892353931114
2021-02-04,971.1943857528236
2021-02-05,972.2404419335298
2021-02-08,976.8788665840714
2021-02-09,970.4316365403799
2021-02-10,949.8153921865688
2021-02-11,952.9743366045242
2021-02-12,955.0341133083655
2021-02-16,945.0087704450449
2021-02-17,945.4663359744139
2021-02-18,942.9128902354012
2021-02-19,941.4713851687313
2021-02-22,925.3798394485533
2021-02-23,925.1023642343258
2021-02-24,936.520706927942
2021-02-25,920.707430294417
2021-02-26,918.9304277814618
2021-03-01,930.2826654973992
2021-03-02,921.2748431620803
2021-03-03,912.3632297392577
2021-03-04,903.598573849518
2021-03-05,903.598573849518
2021-03-08,903.598573849518
2021-03-09,903.3276297494132
2021-03-10,901.8488396032616
2021-03-11,910.2982526268771
2021-03-12,908.7257098318718
2021-03-15,912.5324965895543
2021-03-16,903.940732046067
2021-03-17,916.9848678831356
2021-03-18,903.951778100852
2021-03-19,904.4098723059445
2021-03-22,908.4631261318629
2021-03-23,906.0900622383299
2021-03-24,889.9651072375378
2021-03-25,892.6762081983418
2021-03-26,886.6196996326034
2021-03-29,886.6196996326034
2021-03-30,886.3538466492054
2021-03-31,892.178125824966
2021-04-01,898.2120705193951
2021-04-05,899.0041817299291
2021-04-06,899.0274838234332
2021-04-07,900.7980518953759
2021-04-08,903.4772238710837
2021-04-09,902.1027025172632
2021-04-12,892.3645070244198
2021-04-13,896.1153442355528
2021-04-14,892.294618518197
2021-04-15,902.6851304348393
2021-04-16,900.6815769764344
2021-04-19,898.2586747064032
2021-04-20,893.9719959904129
2021-04-21,899.1576775581573
2021-04-22,887.1471832292946
2021-04-23,895.7671270739941
2021-04-26,901.9408665551582
2021-04-27,901.4749135565237
2021-04-28,898.1396472856126
2021-04-29,897.9047733558364
2021-04-30,893.0148112006032
2021-05-03,886.4592756885963
2021-05-04,886.5873917032847
2021-05-05,884.4073404103555
2021-05-06,882.1968017141146
2021-05-07,882.1968017141146
2021-05-10,882.1968017141146
2021-05-11,882.1968017141146
2021-05-12,881.932274936989
2021-05-13,876.496716860686
2021-05-14,881.8874736396159
2021-05-17,878.0318141068036
2021-05-18,878.3424154723871
2021-05-19,873.7742435315922
2021-05-20,887.755187254712
2021-05-21,885.9931031485748
2021-05-24,893.626782126381
2021-05-25,893.10413678086
2021-05-26,897.4167367354294
2021-05-27,900.9170072767215
2021-05-28,899.2355573029939
2021-06-01,898.84132776041
2021-06-02,893.232552583797
2021-06-03,883.325355443787
2021-06-04,893.0791605061445
2021-06-07,894.8659856770959
2021-06-08,893.5826859265512
2021-06-09,889.7594978083774
2021-06-10,893.1343947411059
2021-06-11,894.2283157220863
2021-06-14,902.3380367780029
2021-06-15,896.5109969969883
2021-06-16,896.8829540559568
2021-06-17,900.9394417364756
2021-06-18,903.5826172881161
2021-06-21,899.4819006052143
2021-06-22,912.3388183518433
2021-06-23,916.6026873599685
2021-06-24,922.121206539843
2021-06-25,930.9258372482516
2021-06-28,940.4375956682103
2021-06-29,946.0107875796882
2021-06-30,949.4056779391129
2021-07-01,953.3539986110602
2021-07-02,959.2634757262359
2021-07-06,963.8920627037503
2021-07-07,943.9677986358327
2021-07-08,936.9801744264805
2021-07-09,944.8575516309662
2021-07-12,949.2410588455609
2021-07-13,945.8128192782433
2021-07-14,939.7796655119171
2021-07-15,921.3782396316192
2021-07-16,904.1698079858603
2021-07-19,911.7597148237578
2021-07-20,911.1896180105807
2021-07-21,923.9037597386532
2021-07-22,929.4693391385183
2021-07-23,930.4995428203782
2021-07-26,928.2556493717605
2021-07-27,928.2596964658356
2021-07-28,931.3344170381089
2021-07-29,931.1224213809985
2021-07-30,930.1289731010086
2021-08-02,934.9854214266288
2021-08-03,936.2429993326386
2021-08-04,945.1238596885081
2021-08-05,952.1471824644773
2021-08-06,946.6288451680766
2021-08-09,945.0509854768395
2021-08-10,936.6515974917942
2021-08-11,930.8553941631121
2021-08-12,934.2498322290255
2021-08-13,940.9731840544089
2021-08-16,940.1663445826555
2021-08-17,936.2513744160859
2021-08-18,934.4394717070288
2021-08-19,957.1678827406406
2021-08-20,968.7165335966056
2021-08-23,986.2618469216878
2021-08-24,984.7961451462176
2021-08-25,982.5813073338272
2021-08-26,983.9032017336871
2021-08-27,997.9304530389459
2021-08-30,1010.7473529551302
2021-08-31,1015.2313034955321
2021-09-01,1028.4006083791091
2021-09-02,1034.7877387276803
2021-09-03,1036.5913554344727
2021-09-07,1058.452088444102
2021-09-08,1058.5002761512
2021-09-09,1053.0372938570788
2021-09-10,1043.8229153684263
2021-09-13,1040.4929115157993
2021-09-14,1037.353189878555
2021-09-15,1045.2296948277028
2021-09-16,1047.0985603365257
2021-09-17,1049.4246651666406
2021-09-20,1028.2148408140558
2021-09-21,1035.7740592598423
2021-09-22,1046.0827914389095
2021-09-23,1047.478081083938
2021-09-24,1064.5088654360575
2021-09-27,1077.8020556938416
2021-09-28,1066.571740315072
2021-09-29,1069.6234524014392
2021-09-30,1064.8790682718547
2021-10-01,1064.6674749533663
2021-10-04,1069.1693551812639
2021-10-05,1068.4034509377511
2021-10-06,1070.163285259644
2021-10-07,1079.0113888114292
2021-10-08,1072.3956559452547
2021-10-11,1077.3334352310276
2021-10-12,1088.3153426321765
2021-10-13,1095.4191650126172
2021-10-14,1109.5592569158975
2021-10-15,1130.8760633816405
2021-10-18,1155.9209212105186
2021-10-19,1154.164745059315
2021-10-20,1151.2293445626462
2021-10-21,1178.1197894194179
2021-10-22,1187.1810713364698
2021-10-25,1256.8086471589158
2021-10-26,1284.7467265854505
2021-10-27,1289.046202401966
2021-10-28,1318.314255213886
2021-10-29,1349.2105631150935
2021-11-01,1400.47580208882
2021-11-02,1396.047702163825
2021-11-03,1418.2461789167314
2021-11-04,1489.523736070496
2021-11-05,1485.1320425128208
2021-11-08,1479.5803433395902
2021-11-09,1418.5066293864702
2021-11-10,1405.2365074064778
2021-11-11,1421.0602562419945
2021-11-12,1415.132840894013
2021-11-15,1411.6400252252806
2021-11-16,1417.226338506013
2021-11-17,1423.1793843157843
2021-11-18,1423.1510061449055
2021-11-19,1437.7024827486273
2021-11-22,1437.8766543204433
2021-11-23,1437.8766543204433
2021-11-24,1437.8766543204433
2021-11-26,1437.8766543204433
2021-11-29,1437.8766543204433
2021-11-30,1437.4455068978584
2021-12-01,1425.1796072673242
2021-12-02,1424.9937080133216
2021-12-03,1421.8519535546866
2021-12-06,1431.6134443052115
2021-12-07,1435.5541495039483
2021-12-08,1437.0909065392284
2021-12-09,1424.6057048033313
2021-12-10,1421.958015628492
2021-12-13,1407.741111000802
2021-12-14,1406.6577459108198
2021-12-15,1434.5925971537952
